Srno,No. of Instances,OS with version,Machine Class,Machine Family,Series,Machine Type,vCPUs,RAM,BootDisk Type,BootDisk Capacity,Gpu no,Gpu Type,WorkStation,Datacenter Location,Avg no. of hrs,Hrs/Min,Days/Month,Zonal/Regional,HDD,SSD,Balanced SSD,Snapshot
26,1.0,"Free: Debian, CentOS, CoreOS, Ubuntu or BYOL",preemptible,general purpose,N2D,custom,4,8.0,,,,,,asia-south1,128.0,hours,,,,,,
27,1.0,"Free: Debian, CentOS, CoreOS, Ubuntu or BYOL",preemptible,general purpose,N2D,custom,4,8.0,,,,,,asia-south1,13.0,hours,,,,,,
28,1.0,"Free: Debian, CentOS, CoreOS, Ubuntu or BYOL",preemptible,general purpose,N1,e2-standard-2,2,7.5,,,,,,asia-south1,337.0,hours,,,,,,
29,1.0,"Free: Debian, CentOS, CoreOS, Ubuntu or BYOL",preemptible,general purpose,N1,e2-standard-2,2,7.5,,,,,,asia-south1,467.0,hours,,,,,,
30,1.0,"Free: Debian, CentOS, CoreOS, Ubuntu or BYOL",preemptible,general purpose,N1,e2-standard-2,2,7.5,,,,,,asia-south1,619.0,hours,,,,,,
31,1.0,"Free: Debian, CentOS, CoreOS, Ubuntu or BYOL",preemptible,general purpose,N1,e2-standard-2,4,15.0,,,,,,asia-south1,267.0,hours,,,,,,
32,1.0,"Free: Debian, CentOS, CoreOS, Ubuntu or BYOL",preemptible,general purpose,N1,e2-standard-2,4,15.0,,,,,,asia-south1,438.0,hours,,,,,,
33,2.3,"Free: Debian, CentOS, CoreOS, Ubuntu or BYOL",preemptible,general purpose,N1,e2-standard-2,4,15.0,,,,,,asia-south1,,,,,,,,
34,1.0,"Free: Debian, CentOS, CoreOS, Ubuntu or BYOL",preemptible,general purpose,N2D,e2-standard-2,2,8.0,,,,,,asia-south1,686.0,hours,,,,,,
35,1.0,"Free: Debian, CentOS, CoreOS, Ubuntu or BYOL",preemptible,general purpose,N2D,e2-standard-2,2,8.0,,,,,,asia-south1,247.0,hours,,,,,,
36,1.0,"Free: Debian, CentOS, CoreOS, Ubuntu or BYOL",preemptible,general purpose,N2D,e2-standard-2,2,8.0,,,,,,asia-south1,135.0,hours,,,,,,
37,1.1,"Free: Debian, CentOS, CoreOS, Ubuntu or BYOL",preemptible,general purpose,N2D,e2-standard-2,4,16.0,,,,,,asia-south1,,,,,,,,
38,1.0,"Free: Debian, CentOS, CoreOS, Ubuntu or BYOL",preemptible,general purpose,N2D,e2-standard-2,4,16.0,,,,,,asia-south1,,,,,,,,
39,1.0,"Free: Debian, CentOS, CoreOS, Ubuntu or BYOL",preemptible,general purpose,N2D,e2-standard-2,4,16.0,,,,,,asia-south1,359.0,hours,,,,,,
40,1.0,"Free: Debian, CentOS, CoreOS, Ubuntu or BYOL",preemptible,general purpose,N2D,e2-standard-2,4,16.0,,,,,,asia-south1,2.0,hours,,,,,,
41,1.0,"Free: Debian, CentOS, CoreOS, Ubuntu or BYOL",preemptible,general purpose,N2D,e2-standard-2,2,8.0,,,,,,asia-south1,61.0,hours,,,,,,
42,1.0,"Free: Debian, CentOS, CoreOS, Ubuntu or BYOL",preemptible,general purpose,N2D,e2-standard-2,2,8.0,,,,,,asia-south1,296.0,hours,,,,,,
43,1.3,"Free: Debian, CentOS, CoreOS, Ubuntu or BYOL",preemptible,general purpose,N2D,e2-standard-2,4,16.0,,,,,,asia-south1,,,,,,,,
44,1.5,"Free: Debian, CentOS, CoreOS, Ubuntu or BYOL",preemptible,general purpose,N2D,e2-standard-2,4,16.0,,,,,,asia-south1,,,,,,,,
45,1.0,"Free: Debian, CentOS, CoreOS, Ubuntu or BYOL",preemptible,general purpose,N2D,e2-standard-2,4,16.0,,,,,,asia-south1,326.0,hours,,,,,,
46,1.5,"Free: Debian, CentOS, CoreOS, Ubuntu or BYOL",preemptible,general purpose,N1,custom,2,16.0,,,,,,asia-south1,,,,,,,,
47,2.4,"Free: Debian, CentOS, CoreOS, Ubuntu or BYOL",preemptible,general purpose,N1,custom,2,16.0,,,,,,asia-south1,,,,,,,,
