Srno,No. of Instances,OS with version,Machine Class,Machine Family,Series,Machine Type,vCPUs,RAM,BootDisk Capacity,Gpu no,Gpu Type,WorkStation,Datacenter Location,Avg no. of hrs,Hrs/Min,Days/Month,Zonal/Regional,HDD,SSD,Balanced SSD,Snapshot
1,1.0,free,,,e2,micro,,,,,,,,asia-south1,,,,,,,
2,1.0,free,,,e2,micro,,,,,,,,asia-south1,625,hours,month,,,,
3,1.0,free,,,e2,small,,,,,,,,asia-south1,,,,,,,
4,1.0,free,,,e2,medium,,,,,,,,asia-south1,,,,,,,
5,13.1,free,,,e2,medium,,,,,,,,asia-south1,,,,,,,
6,1.0,free,,,e2,small,,,,,,,,asia-south1,717,hours,month,,,,
7,1.5,free,,,n2d,,2,4,,,,,,asia-south1,,,,,,,
8,1.0,free,,,e2,medium,,,,,,,,asia-south1,,,,,,,
9,4.5,free,,,n2d,,2,4,,,,,,asia-south1,,,,,,,
10,1.3,free,,,n2d,STANDARD,2,8,,,,,,asia-south1,,,,,,,
11,1.0,free,,,n2d,,4,8,,,,,,asia-south1,554,hours,month,,,,
12,3.3,free,,,n2d,,4,8,,,,,,asia-south1,,,,,,,
13,2.0,free,,,n2d,STANDARD,4,16,,,,,,asia-south1,,,,,,,
14,50.1,free,,,n2d,STANDARD,4,16,,,,,,asia-south1,,,,,,,
15,1.0,free,,,e2,STANDARD,2,7.5,,,,,,asia-south1,1,hours,month,,,,
16,1.0,free,,,n2d,STANDARD,4,16,,,,,,asia-south1,94,hours,month,,,,
17,1.0,free,,,n2d,HIGHMEM,4,32,,,,,,asia-south1,432,hours,month,,,,
18,1.8,free,,,n1,,4,8,,,,,,asia-south1,,,,,,,
19,2.1,free,,,n2d,,8,16,,,,,,asia-south1,,,,,,,
20,1.0,free,,,e2,STANDARD,4,16,,,,,,asia-south1,,,,,,,
21,2.3,free,,,n2d,,8,16,,,,,,asia-south1,,,,,,,
22,13.1,free,,,n2d,STANDARD,8,32,,,,,,asia-south1,,,,,,,
23,1.0,free,,,n2d,STANDARD,8,32,,,,,,asia-south1,3,hours,month,,,,
24,1.0,free,,,n2d,HIGHMEM,8,64,,,,,,asia-south1,,,,,,,
25,1.0,free,,,n2d,,16,32,,,,,,asia-south1,553,hours,month,,,,
26,2.9,free,,,n2d,,16,32,,,,,,asia-south1,,,,,,,
27,1.0,free,,,n1,STANDARD,8,30,,,,,,asia-south1,,,,,,,
28,2.1,free,,,n2d,HIGHMEM,16,128,,,,,,asia-south1,,,,,,,
29,1.0,free,,,n2d,,32,64,,,,,,asia-south1,569,hours,month,,,,
30,1.0,free,,,n2d,HIGHMEM,32,256,,,,,,asia-south1,18,hours,month,,,,
31,1.0,free,,,N2D,,64,512,,,,,,asia-south1,660,hours,month,,,,
32,1.0,free,preemptible,,n2d,STANDARD,8,32,,,,,,asia-south1,413,hours,month,,,,
33,1.4,free,preemptible,,n2d,STANDARD,8,32,,,,,,asia-south1,,,,,,,
34,1.0,free,preemptible,,n2d,STANDARD,8,32,,,,,,asia-south1,383,hours,month,,,,
35,5.0,free,preemptible,,n2d,STANDARD,4,16,,,,,,asia-south1,,,,,,,
36,8.1,free,preemptible,,n2d,STANDARD,4,16,,,,,,asia-south1,,,,,,,
37,9.5,free,preemptible,,n2d,STANDARD,4,16,,,,,,asia-south1,,,,,,,
38,1.0,free,preemptible,,n2d,STANDARD,8,32,,,,,,asia-south1,469,hours,month,,,,
39,1.0,free,preemptible,,n2d,STANDARD,8,32,,,,,,asia-south1,67,hours,month,,,,
40,1.0,free,preemptible,,n2d,STANDARD,8,32,,,,,,asia-south1,302,hours,month,,,,
41,2.6,free,preemptible,,n2d,STANDARD,4,16,,,,,,asia-south1,,,,,,,
42,1.8,free,preemptible,,n2d,STANDARD,4,16,,,,,,asia-south1,,,,,,,
43,3.0,free,preemptible,,n2d,STANDARD,4,16,,,,,,asia-south1,,,,,,,
44,1.0,free,preemptible,,n2d,STANDARD,8,32,,,,,,asia-south1,237,hours,month,,,,
45,1.7,free,preemptible,,n2d,STANDARD,8,32,,,,,,asia-south1,,,,,,,
46,1.0,free,preemptible,,n2d,STANDARD,8,32,,,,,,asia-south1,257,hours,month,,,,
47,3.5,free,preemptible,,n2d,STANDARD,4,16,,,,,,asia-south1,,,,,,,
48,5.6,free,preemptible,,n2d,STANDARD,4,16,,,,,,asia-south1,,,,,,,
49,10.6,free,preemptible,,n2d,STANDARD,4,16,,,,,,asia-south1,,,,,,,
50,1.0,free,preemptible,,n2d,STANDARD,8,32,,,,,,asia-south1,226,hours,month,,,,
51,1.0,free,preemptible,,n2d,STANDARD,8,32,,,,,,asia-south1,261,hours,month,,,,
52,1.0,free,preemptible,,n2d,STANDARD,8,32,,,,,,asia-south1,124,hours,month,,,,
53,7.9,free,preemptible,,n2d,STANDARD,4,16,,,,,,asia-south1,,,,,,,
54,5.0,free,preemptible,,n2d,STANDARD,4,16,,,,,,asia-south1,,,,,,,
55,1.1,free,preemptible,,n2d,STANDARD,4,16,,,,,,asia-south1,,,,,,,
56,1.0,free,preemptible,,n2d,HIGHMEM,16,128,,,,,,asia-south1,73,hours,month,,,,
57,1.0,win,,,n2d,STANDARD,4,16,,,,,,asia-south1,641,hours,month,,,,
